01/07/2013,16,13,10,10,8,5,87,71,48,1016,1015,1015,10,10,9,26,14,42,0,3,Rain,256
02/07/2013,15,13,11,13,11,8,94,84,67,1015,1008,1000,10,9,5,24,14,,0,4,Rain,180
03/07/2013,16,13,12,13,12,10,100,84,72,1014,1007,1000,10,10,7,24,16,53,0,6,Rain,263
04/07/2013,20,16,12,15,12,9,94,76,56,1025,1017,1013,10,10,10,34,16,50,0,4,,245
05/07/2013,22,16,10,14,11,9,94,72,53,1030,1028,1025,10,10,10,11,6,,0,2,,227
06/07/2013,25,18,12,15,13,11,100,75,44,1032,1029,1028,10,9,5,21,8,35,0,2,Fog,266
07/07/2013,26,18,11,17,13,10,94,72,54,1035,1033,1032,10,10,9,16,6,35,0,1,,308
08/07/2013,26,19,13,15,13,8,100,67,36,1036,1034,1033,10,9,4,16,5,,0,1,,96
09/07/2013,26,19,12,17,14,11,94,72,50,1033,1030,1027,10,9,5,19,5,27,0,2,Fog,282
10/07/2013,23,18,13,16,14,10,94,75,61,1028,1027,1027,10,10,8,21,10,,0,2,,77
11/07/2013,24,17,10,13,10,7,88,64,38,1028,1026,1025,10,10,10,14,10,,0,2,,85
12/07/2013,26,19,12,16,13,11,94,70,47,1026,1025,1024,10,7,5,19,6,45,0,1,,272
13/07/2013,28,20,13,17,14,11,94,71,44,1026,1025,1025,10,8,4,19,6,37,0,1,,273
14/07/2013,23,18,13,14,12,4,94,71,29,1026,1025,1024,10,10,9,23,10,39,0,2,,296
15/07/2013,25,18,12,16,13,10,100,77,50,1025,1024,1023,10,7,0,23,6,29,0,2,Fog,297
16/07/2013,25,18,10,14,12,10,100,72,44,1025,1024,1023,10,8,5,19,5,,0,1,Fog,272
17/07/2013,26,19,12,15,13,11,100,70,47,1027,1025,1025,10,8,2,23,6,27,0,1,Fog,283
18/07/2013,28,21,14,16,14,12,94,64,37,1028,1027,1026,10,10,10,14,6,,0,2,,238
19/07/2013,29,22,15,15,14,12,94,60,35,1028,1026,1024,10,10,9,26,8,,0,1,,111
20/07/2013,23,19,15,15,14,13,94,72,57,1026,1025,1024,10,10,10,23,13,,0,4,,97
21/07/2013,19,17,15,14,13,11,88,77,68,1024,1022,1019,10,10,8,21,13,,0,6,,101
22/07/2013,26,19,13,18,16,12,100,74,57,1019,1016,1013,10,8,5,16,10,,0,3,,116
23/07/2013,24,20,17,19,17,15,94,80,61,1014,1012,1011,10,10,8,32,13,52,0,4,Rain-Thunderstorm,144
24/07/2013,24,19,15,15,14,13,100,75,50,1013,1013,1011,10,9,2,16,6,,0,2,,172
25/07/2013,24,20,16,16,14,10,100,74,50,1012,1011,1010,10,10,9,23,13,,0,4,Rain,196
26/07/2013,24,18,12,14,12,8,94,64,38,1012,1012,1011,10,10,10,13,6,32,0,3,,227
27/07/2013,25,18,12,16,12,10,100,68,39,1011,1007,1003,10,9,4,16,5,,0,3,Rain-Thunderstorm,145
28/07/2013,22,18,14,16,14,13,100,84,57,1005,1003,1000,10,9,3,27,16,42,0,4,Rain-Thunderstorm,241
29/07/2013,21,17,14,16,14,11,94,79,60,1011,1007,1004,10,10,6,27,18,,0,3,Rain-Thunderstorm,212
30/07/2013,21,17,13,14,12,10,94,73,56,1012,1011,1009,10,10,10,21,14,,0,2,Rain,224
31/07/2013,19,16,12,18,14,11,94,91,82,1014,1012,1010,10,9,3,23,11,,0,4,Rain,190
